case_id|page|lot|sell_order|type_prop|size1|size2|size3|price|tumbon|aumper|province|Law_Court_ID|deed_no|addrno|bit_time1|bit_time2|bit_time3|bit_time4|bit_time5|bit_time6|link|timestamp|lat|long|eva_unit
ผบ.669/2563|20/29|นนทบุรี 5/2565 - 1|137 - 1|ที่ดินพร้อมสิ่งปลูกสร้าง|0|0|21.0|1148100.0|บางบัวทอง|บางบัวทอง|นนทบุรี|101|110712|90/1058|1  13/01/2565 ขายได้ 13/01/2565|2  03/02/2565 ขายได้ 13/01/2565|3  24/02/2565 ขายได้ 13/01/2565|4  17/03/2565 ขายได้ 13/01/2565|5  07/04/2565 ขายได้ 13/01/2565|6  28/04/2565 ขายได้ 13/01/2565|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.669&law_suit_year=2563&Law_Court_ID=101&deed_no=110712&addrno=90/1058|2022-03-09 15:24:01.999975|13.95331231|100.35734642|17000
ผบ.6494/2561|20/30|นนทบุรี 5/2565 - 1|138 - 1|ที่ดินพร้อมสิ่งปลูกสร้าง|0|0|67.2|3196500.0|เสาธงหิน|บางใหญ่|นนทบุรี|121|91163|73/285|1  13/01/2565 งดขายไม่มีผู้สู้ราคา 13/01/2565|2  03/02/2565 ขายได้ 03/02/2565|3  24/02/2565 ขายได้ 03/02/2565|4  17/03/2565 ขายได้ 03/02/2565|5  07/04/2565 ขายได้ 03/02/2565|6  28/04/2565 ขายได้ 03/02/2565|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.6494&law_suit_year=2561&Law_Court_ID=121&deed_no=91163&addrno=73/285|2022-03-09 15:24:04.751946|13.87687438|100.39682651|25000
ผบ.14983/2562|20/31|นนทบุรี 5/2565 - 1|139 - 1|ที่ดินพร้อมสิ่งปลูกสร้าง|0|0|28.5|1247100.0|ลำโพ|บางบัวทอง|นนทบุรี|121|181927|109/83|1  13/01/2565 งดขายส่งประกาศมิชอบ 13/01/2565|2  03/02/2565 ขายได้ 03/02/2565|3  24/02/2565 ขายได้ 03/02/2565|4  17/03/2565 ขายได้ 03/02/2565|5  07/04/2565 ขายได้ 03/02/2565|6  28/04/2565 ขายได้ 03/02/2565|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.14983&law_suit_year=2562&Law_Court_ID=121&deed_no=181927&addrno=109/83|2022-03-09 15:24:07.922371|13.95206727|100.42671774|nodetail
ย.907/2550|20/32|นนทบุรี 5/2565 - 1|140 - 1|ที่ดินพร้อมสิ่งปลูกสร้าง|0|0|38.0|1713000.0|บางศรีเมือง|เมืองนนทบุรี|นนทบุรี|101|223240|47/35|1  13/01/2565 งดขายส่งประกาศมิชอบ 13/01/2565|2  03/02/2565 งดขาย 03/02/2565|3  24/02/2565 งดขาย 24/02/2565|"4  17/03/2565 -
คลิกเข้าร่วม"|"5  07/04/2565 -
คลิกเข้าร่วม"|"6  28/04/2565 -
คลิกเข้าร่วม"|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%C2.907&law_suit_year=2550&Law_Court_ID=101&deed_no=223240&addrno=47/35|2022-03-09 15:24:12.401344|13.83152819|100.47860911|28000
ผบ.1137/2559|20/33|นนทบุรี 5/2565 - 1|141 - 1|ที่ดินพร้อมสิ่งปลูกสร้าง|0|0|21.0|594240.0|บ้านใหม่|บางใหญ่|นนทบุรี|101|84876|60/137|1  13/01/2565 งดขายส่งประกาศมิชอบ 13/01/2565|2  03/02/2565 ขายได้ 03/02/2565|3  24/02/2565 ขายได้ 03/02/2565|4  17/03/2565 ขายได้ 03/02/2565|5  07/04/2565 ขายได้ 03/02/2565|6  28/04/2565 ขายได้ 03/02/2565|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.1137&law_suit_year=2559&Law_Court_ID=101&deed_no=84876&addrno=60/137|2022-03-09 15:24:17.949268|13.84903158|100.35661403|nodetail
ผบ.12453/2563|20/34|นนทบุรี 5/2565 - 1|142 - 1|ที่ดินพร้อมสิ่งปลูกสร้าง|0|0|42.1|3682750.0|บางเลน|บางใหญ่|นนทบุรี|121|103912|9/61|1  13/01/2565 ขายได้ 13/01/2565|2  03/02/2565 ขายได้ 13/01/2565|3  24/02/2565 ขายได้ 13/01/2565|4  17/03/2565 ขายได้ 13/01/2565|5  07/04/2565 ขายได้ 13/01/2565|6  28/04/2565 ขายได้ 13/01/2565|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.12453&law_suit_year=2563&Law_Court_ID=121&deed_no=103912&addrno=9/61|2022-03-09 15:24:23.845749|13.85995407|100.43630518|40000
พ.2610/2561|20/35|นนทบุรี 5/2565 - 1|143 - 1|ที่ดินพร้อมสิ่งปลูกสร้าง|0|0|50.6|3053400.0|ท่าอิฐ|ปากเกร็ด|นนทบุรี|101|49603|80/21|1  13/01/2565 ขายได้ 13/01/2565|2  03/02/2565 ขายได้ 13/01/2565|3  24/02/2565 ขายได้ 13/01/2565|4  17/03/2565 ขายได้ 13/01/2565|5  07/04/2565 ขายได้ 13/01/2565|6  28/04/2565 ขายได้ 13/01/2565|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BE.2610&law_suit_year=2561&Law_Court_ID=101&deed_no=49603&addrno=80/21|2022-03-09 15:24:29.098422|13.89220886|100.45327927|30000
ผบ.1612/2557|20/36|นนทบุรี 5/2565 - 1|144 - 1|ที่ดินพร้อมสิ่งปลูกสร้าง|0|0|64.0|3516775.0|บางกระสอ(บางสร้อยทอง)|เมืองนนทบุรี(ตลาดขวัญ)|นนทบุรี|101|139518|49/87%20(%E3%CB%C1%E8%207)|1  13/01/2565 งดขายไม่มีผู้สู้ราคา 13/01/2565|2  03/02/2565 งดขายไม่มีผู้สู้ราคา 03/02/2565|3  24/02/2565 งดขายไม่มีผู้สู้ราคา 24/02/2565|"4  17/03/2565 -
คลิกเข้าร่วม"|"5  07/04/2565 -
คลิกเข้าร่วม"|"6  28/04/2565 -
คลิกเข้าร่วม"|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.1612&law_suit_year=2557&Law_Court_ID=101&deed_no=139518&addrno=49/87%20(%E3%CB%C1%E8%207)|2022-03-09 15:24:42.551010|13.88034538|100.48804109|32000
ผบ.1831/2557|20/37|นนทบุรี 5/2565 - 1|145 - 1|ที่ดินพร้อมสิ่งปลูกสร้าง|0|0|53.0|1857200.0|บางสีเมือง|เมืองนนทบุรี(ตลาดขวัญ)|นนทบุรี|101|85429|91/9|1  13/01/2565 โจทก์แถลงงดขาย 13/01/2565|2  03/02/2565 ถอนการยึด 03/02/2565|3  24/02/2565 ถอนการยึด 24/02/2565|4  17/03/2565 ถอนการยึด 17/03/2565|5  07/04/2565 ถอนการยึด 07/04/2565|6  28/04/2565 โจทก์แถลงงดขาย 28/04/2565|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.1831&law_suit_year=2557&Law_Court_ID=101&deed_no=85429&addrno=91/9|2022-03-09 15:24:49.644903|13.8390363|100.47944498|22000
ผบ.8231/2553|20/38|นนทบุรี 5/2565 - 1|146 - 1|ห้องชุด|0|0|28.0|308000.0|บางสีเมือง|เมืองนนทบุรี|นนทบุรี|121|5305,186632,186633,186634|93/418|1  13/01/2565 งดขายไม่มีผู้สู้ราคา 13/01/2565|2  03/02/2565 งดขายไม่มีผู้สู้ราคา 03/02/2565|3  24/02/2565 งดขายไม่มีผู้สู้ราคา 24/02/2565|"4  17/03/2565 -
คลิกเข้าร่วม"|"5  07/04/2565 -
คลิกเข้าร่วม"|"6  28/04/2565 -
คลิกเข้าร่วม"|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.8231&law_suit_year=2553&Law_Court_ID=121&deed_no=5305,%20186632,%20186633,%20186634&addrno=93/418|2022-03-09 15:24:54.374245|13.84068153|100.48355057|16000
ผบ.6629/2561|20/39|นนทบุรี 5/2565 - 1|147 - 1|ที่ดินพร้อมสิ่งปลูกสร้าง|0|0|18.3|1330200.0|บ้านใหม่|ปากเกร็ด|นนทบุรี|107|48437|19/124|1  13/01/2565 ถอนการยึด 13/01/2565|2  03/02/2565 ถอนการยึด 03/02/2565|3  24/02/2565 ถอนการยึด 24/02/2565|4  17/03/2565 ถอนการยึด 17/03/2565|5  07/04/2565 ถอนการยึด 07/04/2565|6  28/04/2565 ถอนการยึด 28/04/2565|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.6629&law_suit_year=2561&Law_Court_ID=107&deed_no=48437&addrno=19/124|2022-03-09 15:25:01.200982|13.92200606|100.54802342|35000
ผบ.870/2563|20/40|นนทบุรี 5/2565 - 1|148 - 1|ที่ดินพร้อมสิ่งปลูกสร้าง|0|0|12.9|666150.0|บางพูด(บางพัง)|ปากเกร็ด(ตลาดขวัญ)|นนทบุรี|502|79311|99/67|1  13/01/2565 งดขายไม่มีผู้สู้ราคา 13/01/2565|2  03/02/2565 งดขายไม่มีผู้สู้ราคา 03/02/2565|3  24/02/2565 งดขายไม่มีผู้สู้ราคา 24/02/2565|"4  17/03/2565 -
คลิกเข้าร่วม"|"5  07/04/2565 -
คลิกเข้าร่วม"|"6  28/04/2565 -
คลิกเข้าร่วม"|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.870&law_suit_year=2563&Law_Court_ID=502&deed_no=79311&addrno=99/67|2022-03-09 15:25:06.832910|13.9191466|100.51360757|nodetail
ผบ.1664/2556|20/41|นนทบุรี 5/2565 - 1|149 - 1|ที่ดินพร้อมสิ่งปลูกสร้าง|0|0|28.1|1222250.0|ปลายบาง|บางกรวย|นนทบุรี|330|44271|81/3|1  13/01/2565 งดขายส่งประกาศมิชอบ 13/01/2565|2  03/02/2565 ขายได้ 03/02/2565|3  24/02/2565 ขายได้ 03/02/2565|4  17/03/2565 ขายได้ 03/02/2565|5  07/04/2565 ขายได้ 03/02/2565|6  28/04/2565 ขายได้ 03/02/2565|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.1664&law_suit_year=2556&Law_Court_ID=330&deed_no=44271&addrno=81/3|2022-03-09 15:25:16.581874|13.81512002|100.39414455|20000
ผบ.9588/2561|20/42|นนทบุรี 5/2565 - 1|150 - 1|ที่ดินพร้อมสิ่งปลูกสร้าง|0|0|20.1|2181600.0|บางตลาด|ปากเกร็ด|นนทบุรี|121|46489|41/16|1  13/01/2565 งดขาย 13/01/2565|2  03/02/2565 งดขาย 03/02/2565|3  24/02/2565 งดขาย 24/02/2565|4  17/03/2565 งดขาย 17/03/2565|5  07/04/2565 งดขาย 07/04/2565|6  28/04/2565 งดขาย 28/04/2565|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.9588&law_suit_year=2561&Law_Court_ID=121&deed_no=46489&addrno=41/16|2022-03-09 15:25:21.452367|13.89654813|100.52446943|38000
ผบ.2687/2562|20/43|นนทบุรี 5/2565 - 1|151 - 1|ที่ดินพร้อมสิ่งปลูกสร้าง|0|0|20.0|1270600.0|พิมลราช|บางบัวทอง|นนทบุรี|101|152469|98/319|1  13/01/2565 งดขายไม่มีผู้สู้ราคา 13/01/2565|2  03/02/2565 ขายได้ 03/02/2565|3  24/02/2565 ขายได้ 03/02/2565|4  17/03/2565 ขายได้ 03/02/2565|5  07/04/2565 ขายได้ 03/02/2565|6  28/04/2565 ขายได้ 03/02/2565|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.2687&law_suit_year=2562&Law_Court_ID=101&deed_no=152469&addrno=98/319|2022-03-09 15:25:26.761151|13.92077514|100.38997253|20000
ผบ.732/2563|20/44|นนทบุรี 5/2565 - 1|152 - 1|ที่ดินพร้อมสิ่งปลูกสร้าง|0|0|20.0|996000.0|บางบัวทอง|บางบัวทอง|นนทบุรี|326|61271|89/191|1  13/01/2565 งดขายส่งประกาศมิชอบ 13/01/2565|2  03/02/2565 งดขายไม่มีผู้สู้ราคา 03/02/2565|3  24/02/2565 ขายได้ 24/02/2565|4  17/03/2565 ขายได้ 24/02/2565|5  07/04/2565 ขายได้ 24/02/2565|6  28/04/2565 ขายได้ 24/02/2565|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.732&law_suit_year=2563&Law_Court_ID=326&deed_no=61271&addrno=89/191|2022-03-09 15:25:30.534794|13.92853005|100.39686486|18000
3051/2551|20/45|นนทบุรี 5/2565 - 1|153 - 1|ที่ดินพร้อมสิ่งปลูกสร้าง|0|0|16.0|640320.0|ไทรน้อย|ไทรน้อย|นนทบุรี|305|13150|7/1502|1  13/01/2565 งดขาย 13/01/2565|2  03/02/2565 งดขาย 03/02/2565|3  24/02/2565 งดขาย 24/02/2565|4  17/03/2565 งดขาย 17/03/2565|5  07/04/2565 งดขาย 07/04/2565|6  28/04/2565 งดขาย 28/04/2565|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=3051&law_suit_year=2551&Law_Court_ID=305&deed_no=13150&addrno=7/1502|2022-03-09 15:25:35.231730|13.94507299|100.34975942|15000
ย.31/2561|20/46|นนทบุรี 5/2565 - 1|154 - 1|ที่ดินพร้อมสิ่งปลูกสร้าง|0|0|76.1|6485500.0|บางพลับ|ปากเกร็ด|นนทบุรี|101|37932|99/277|1  13/01/2565 งดขายส่งประกาศมิชอบ 13/01/2565|2  03/02/2565 งดขายไม่มีผู้สู้ราคา 03/02/2565|3  24/02/2565 งดขายไม่มีผู้สู้ราคา 24/02/2565|"4  17/03/2565 -
คลิกเข้าร่วม"|"5  07/04/2565 -
คลิกเข้าร่วม"|"6  28/04/2565 -
คลิกเข้าร่วม"|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%C2.31&law_suit_year=2561&Law_Court_ID=101&deed_no=37932&addrno=99/277|2022-03-09 15:25:41.568895|13.93195856|100.46181976|nodetail
ผบ.971/2556|20/47|นนทบุรี 5/2565 - 1|156 - 1|ที่ดินพร้อมสิ่งปลูกสร้าง|0|0|22.0|1501696.0|บางเขน|เมืองนนทบุรี|นนทบุรี|101|236740|97/53|1  13/01/2565 งดขาย 13/01/2565|2  03/02/2565 งดขาย 03/02/2565|3  24/02/2565 งดขาย 24/02/2565|4  17/03/2565 งดขาย 17/03/2565|5  07/04/2565 งดขาย 07/04/2565|6  28/04/2565 งดขาย 28/04/2565|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.971&law_suit_year=2556&Law_Court_ID=101&deed_no=236740&addrno=97/53|2022-03-09 15:25:50.461027|13.83471981|100.51419685|35000
ผบ.7022/2553|20/48|นนทบุรี 5/2565 - 1|157 - 1|ที่ดินพร้อมสิ่งปลูกสร้าง|0|0|18.8|1309820.0|บางพูด|ปากเกร็ด|นนทบุรี|121|49279|37/118|1  13/01/2565 โจทก์แถลงงดขาย 13/01/2565|2  03/02/2565 งดขาย 03/02/2565|3  24/02/2565 โจทก์แถลงงดขาย 24/02/2565|4  17/03/2565 โจทก์แถลงงดขาย 17/03/2565|5  07/04/2565 โจทก์แถลงงดขาย 07/04/2565|6  28/04/2565 โจทก์แถลงงดขาย 28/04/2565|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.7022&law_suit_year=2553&Law_Court_ID=121&deed_no=49279&addrno=37/118|2022-03-09 15:25:55.690876|13.91723517|100.51801614|28000
ผบ.15245/2562|20/49|นนทบุรี 5/2565 - 1|158 - 1|ที่ดินพร้อมสิ่งปลูกสร้าง|0|1|13.0|6027000.0|บางเขน|เมืองนนทบุรี|นนทบุรี|121|211172|152/1|1  13/01/2565 ถอนการยึด 13/01/2565|2  03/02/2565 ถอนการยึด 03/02/2565|3  24/02/2565 ถอนการยึด 24/02/2565|4  17/03/2565 ถอนการยึด 17/03/2565|5  07/04/2565 ถอนการยึด 07/04/2565|6  28/04/2565 ถอนการยึด 28/04/2565|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.15245&law_suit_year=2562&Law_Court_ID=121&deed_no=211172&addrno=152/1|2022-03-09 15:26:00.853655|13.83992948|100.51216127|nodetail
ผบ.3232/2563|20/50|นนทบุรี 5/2565 - 1|159 - 1|ที่ดินพร้อมสิ่งปลูกสร้าง|0|0|30.7|1947900.0|เสาธงหิน|บางใหญ่|นนทบุรี|101|97801|89/18|1  13/01/2565 ขายได้ 13/01/2565|2  03/02/2565 ขายได้ 13/01/2565|3  24/02/2565 ขายได้ 13/01/2565|4  17/03/2565 ขายได้ 13/01/2565|5  07/04/2565 ขายได้ 13/01/2565|6  28/04/2565 ขายได้ 13/01/2565|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.3232&law_suit_year=2563&Law_Court_ID=101&deed_no=97801&addrno=89/18|2022-03-09 15:26:07.272091|13.86773515|100.40453962|nodetail
ผบ.4793/2563|21/1|นนทบุรี 5/2565 - 1|160 - 1|ที่ดินพร้อมสิ่งปลูกสร้าง|0|0|60.8|3128900.0|เสาธงหิน|บางใหญ่|นนทบุรี|101|91471|73/137|1  13/01/2565 งดขายไม่มีผู้สู้ราคา 13/01/2565|2  03/02/2565 ขายได้ 03/02/2565|3  24/02/2565 ขายได้ 03/02/2565|4  17/03/2565 ขายได้ 03/02/2565|5  07/04/2565 ขายได้ 03/02/2565|6  28/04/2565 ขายได้ 03/02/2565|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.4793&law_suit_year=2563&Law_Court_ID=101&deed_no=91471&addrno=73/137|2022-03-09 15:26:25.891961|13.87734074|100.39415961|25000
ผบ.5476/2562|21/2|นนทบุรี 5/2565 - 1|161 - 1|ที่ดินพร้อมสิ่งปลูกสร้าง|0|1|83.2|2412320.0|ไทรน้อย|ไทรน้อย|นนทบุรี|121|40186|333|1  13/01/2565 ถอนการยึด 13/01/2565|2  03/02/2565 ถอนการยึด 03/02/2565|3  24/02/2565 ถอนการยึด 24/02/2565|4  17/03/2565 ถอนการยึด 17/03/2565|5  07/04/2565 ถอนการยึด 07/04/2565|6  28/04/2565 ถอนการยึด 28/04/2565|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.5476&law_suit_year=2562&Law_Court_ID=121&deed_no=40186&addrno=333|2022-03-09 15:26:31.810429|13.9736681|100.33492871|nodetail
ผบ.15238/2562|21/3|นนทบุรี 5/2565 - 1|162 - 1|ที่ดินพร้อมสิ่งปลูกสร้าง|0|0|75.0|3492000.0|บ้านใหม่|ปากเกร็ด (ตลาดขวัญ)|นนทบุรี|121|104532|29/239|1  13/01/2565 ถอนการยึด 13/01/2565|2  03/02/2565 ถอนการยึด 03/02/2565|3  24/02/2565 ถอนการยึด 24/02/2565|4  17/03/2565 ถอนการยึด 17/03/2565|5  07/04/2565 ถอนการยึด 07/04/2565|6  28/04/2565 ถอนการยึด 28/04/2565|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.15238&law_suit_year=2562&Law_Court_ID=121&deed_no=104532&addrno=29/239|2022-03-09 15:26:37.041643|13.91937289|100.53759713|nodetail
