case_id|page|lot|sell_order|type_prop|size1|size2|size3|price|tumbon|aumper|province|Law_Court_ID|deed_no|addrno|bit_time1|bit_time2|bit_time3|bit_time4|bit_time5|bit_time6|link|timestamp|lat|long|eval_unit_price|eva_unit
ผบ.2112/2560|3/44|นนทบุรี 10/2565 - 1|157 - 1|ที่ดินพร้อมสิ่งปลูกสร้าง|0|0|84.0|1612660.0|บ้านใหม่|บางใหญ่|นนทบุรี|403|60485|27/77|"1  07/04/2565 -
คลิกเข้าร่วม"|"2  28/04/2565 -
คลิกเข้าร่วม"|"3  19/05/2565 -
คลิกเข้าร่วม"|"4  09/06/2565 -
คลิกเข้าร่วม"|"5  30/06/2565 -
คลิกเข้าร่วม"|"6  21/07/2565 -
คลิกเข้าร่วม"|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.2112&law_suit_year=2560&Law_Court_ID=403&deed_no=60485&addrno=27/77|2022-02-09 22:07:57.184113|13.8771172|100.361099||5000
ผบ.3751/2561|3/45|นนทบุรี 10/2565 - 1|158 - 1|ที่ดินพร้อมสิ่งปลูกสร้าง|0|2|2.0|35397450.0|ท่าทราย(บางธรณี)|เมืองนนทบุรี(ตลาดขวัญ)|นนทบุรี|101|12997|329|"1  07/04/2565 -
คลิกเข้าร่วม"|"2  28/04/2565 -
คลิกเข้าร่วม"|"3  19/05/2565 -
คลิกเข้าร่วม"|"4  09/06/2565 -
คลิกเข้าร่วม"|"5  30/06/2565 -
คลิกเข้าร่วม"|"6  21/07/2565 -
คลิกเข้าร่วม"|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.3751&law_suit_year=2561&Law_Court_ID=101&deed_no=12997&addrno=329|2022-02-09 22:08:04.242858|13.88182287|100.49769123||nodetail
ผบ.1665/2563|3/46|นนทบุรี 10/2565 - 1|159 - 1|ที่ดินพร้อมสิ่งปลูกสร้าง|0|0|50.1|1989915.0|พิมลราช|บางบัวทอง|นนทบุรี|10|149892|99/30|"1  07/04/2565 -
คลิกเข้าร่วม"|"2  28/04/2565 -
คลิกเข้าร่วม"|"3  19/05/2565 -
คลิกเข้าร่วม"|"4  09/06/2565 -
คลิกเข้าร่วม"|"5  30/06/2565 -
คลิกเข้าร่วม"|"6  21/07/2565 -
คลิกเข้าร่วม"|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.1665&law_suit_year=2563&Law_Court_ID=010&deed_no=149892&addrno=99/30|2022-02-09 22:08:09.913601|13.92570333|100.37783763||16000
ผบE.379/2563|3/47|นนทบุรี 10/2565 - 1|160 - 1|ที่ดินพร้อมสิ่งปลูกสร้าง|0|2|2.0|4650320.0|บางเลน|บางใหญ่|นนทบุรี|101|121254|%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9|"1  07/04/2565 -
คลิกเข้าร่วม"|"2  28/04/2565 -
คลิกเข้าร่วม"|"3  19/05/2565 -
คลิกเข้าร่วม"|"4  09/06/2565 -
คลิกเข้าร่วม"|"5  30/06/2565 -
คลิกเข้าร่วม"|"6  21/07/2565 -
คลิกเข้าร่วม"|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BAE.379&law_suit_year=2563&Law_Court_ID=101&deed_no=121254&addrno=%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9|2022-02-09 22:08:14.926499|13.85837208|100.43710053||nodetail
ผบ.4032/2563|3/48|นนทบุรี 10/2565 - 1|161 - 1|ที่ดินพร้อมสิ่งปลูกสร้าง|0|0|33.2|1343347.98|ไทรน้อย|ไทรน้อย|นนทบุรี|101|35465|21/29|"1  07/04/2565 -
คลิกเข้าร่วม"|"2  28/04/2565 -
คลิกเข้าร่วม"|"3  19/05/2565 -
คลิกเข้าร่วม"|"4  09/06/2565 -
คลิกเข้าร่วม"|"5  30/06/2565 -
คลิกเข้าร่วม"|"6  21/07/2565 -
คลิกเข้าร่วม"|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.4032&law_suit_year=2563&Law_Court_ID=101&deed_no=35465&addrno=21/29|2022-02-09 22:08:22.432452|13.96150471|100.32918232||15000
ผบ.237/2563|3/49|นนทบุรี 10/2565 - 1|162 - 1|ห้องชุด|0|0|21.0|304500.0|บางเขน(ลาดโตนด)|เมืองนนทบุรี(ตลาดขวัญ)|นนทบุรี|11|27853,27854,27856,27861|30/604|"1  07/04/2565 -
คลิกเข้าร่วม"|"2  28/04/2565 -
คลิกเข้าร่วม"|"3  19/05/2565 -
คลิกเข้าร่วม"|"4  09/06/2565 -
คลิกเข้าร่วม"|"5  30/06/2565 -
คลิกเข้าร่วม"|"6  21/07/2565 -
คลิกเข้าร่วม"|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.237&law_suit_year=2563&Law_Court_ID=011&deed_no=27853,27854,27856,27861&addrno=30/604|2022-02-09 22:08:25.338437|13.85218271|100.534586||22500
ผบE.2980/2563|3/50|นนทบุรี 10/2565 - 1|164 - 1|ที่ดินพร้อมสิ่งปลูกสร้าง|0|0|20.0|989250.0|บางบัวทอง|บางบัวทอง|นนทบุรี|121|126578|14/2505|"1  07/04/2565 -
คลิกเข้าร่วม"|"2  28/04/2565 -
คลิกเข้าร่วม"|"3  19/05/2565 -
คลิกเข้าร่วม"|"4  09/06/2565 -
คลิกเข้าร่วม"|"5  30/06/2565 -
คลิกเข้าร่วม"|"6  21/07/2565 -
คลิกเข้าร่วม"|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BAE.2980&law_suit_year=2563&Law_Court_ID=121&deed_no=126578&addrno=14/2505|2022-02-09 22:08:28.954420|13.93495405|100.40426882||18000
ผบ.5010/2563|4/1|นนทบุรี 10/2565 - 1|165 - 1|ห้องชุด|0|0|26.07|1144473.0|ตลาดขวัญ|เมืองนนทบุรี|นนทบุรี|403|3218|92/141|"1  07/04/2565 -
คลิกเข้าร่วม"|"2  28/04/2565 -
คลิกเข้าร่วม"|"3  19/05/2565 -
คลิกเข้าร่วม"|"4  09/06/2565 -
คลิกเข้าร่วม"|"5  30/06/2565 -
คลิกเข้าร่วม"|"6  21/07/2565 -
คลิกเข้าร่วม"|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.5010&law_suit_year=2563&Law_Court_ID=403&deed_no=3218&addrno=92/141|2022-02-09 22:08:44.038885|13.83702673|100.50459957||8000
ผบ.633/2560|4/2|นนทบุรี 10/2565 - 1|166 - 1|ห้องชุด|0|0|30.0|453000.0|ตลาดขวัญ(บางแพรก)|เมืองนนทบุรี(ตลาดขวัญ)|นนทบุรี|32|16851|124/1275|"1  07/04/2565 -
คลิกเข้าร่วม"|"2  28/04/2565 -
คลิกเข้าร่วม"|"3  19/05/2565 -
คลิกเข้าร่วม"|"4  09/06/2565 -
คลิกเข้าร่วม"|"5  30/06/2565 -
คลิกเข้าร่วม"|"6  21/07/2565 -
คลิกเข้าร่วม"|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.633&law_suit_year=2560&Law_Court_ID=032&deed_no=16851&addrno=124/1275|2022-02-09 22:08:49.396816|13.85271999|100.51238397||30000
ผบ.854/2555|4/3|นนทบุรี 10/2565 - 1|167 - 1|ที่ดินพร้อมสิ่งปลูกสร้าง|0|0|18.0|919980.0|บางรักพัฒนา|บางบัวทอง|นนทบุรี|10|135004|104/330|"1  07/04/2565 -
คลิกเข้าร่วม"|"2  28/04/2565 -
คลิกเข้าร่วม"|"3  19/05/2565 -
คลิกเข้าร่วม"|"4  09/06/2565 -
คลิกเข้าร่วม"|"5  30/06/2565 -
คลิกเข้าร่วม"|"6  21/07/2565 -
คลิกเข้าร่วม"|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.854&law_suit_year=2555&Law_Court_ID=010&deed_no=135004&addrno=104/330|2022-02-09 22:08:54.174184|13.89805615|100.39554874||19000
ผบ.5188/2562|4/4|นนทบุรี 10/2565 - 1|168 - 1|ที่ดินพร้อมสิ่งปลูกสร้าง|0|0|37.2|3210150.0|บางรักน้อย|เมืองนนทบุรี|นนทบุรี|47|230581|200/51|"1  07/04/2565 -
คลิกเข้าร่วม"|"2  28/04/2565 -
คลิกเข้าร่วม"|"3  19/05/2565 -
คลิกเข้าร่วม"|"4  09/06/2565 -
คลิกเข้าร่วม"|"5  30/06/2565 -
คลิกเข้าร่วม"|"6  21/07/2565 -
คลิกเข้าร่วม"|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.5188&law_suit_year=2562&Law_Court_ID=047&deed_no=230581&addrno=200/51|2022-02-09 22:09:02.254909|13.88556123|100.45334378||40000
ผบ.1588/2563|4/5|นนทบุรี 10/2565 - 1|169 - 1|ที่ดินพร้อมสิ่งปลูกสร้าง|0|0|17.5|842760.0|บางบัวทอง|บางบัวทอง|นนทบุรี|101|92915|8/129|"1  07/04/2565 -
คลิกเข้าร่วม"|"2  28/04/2565 -
คลิกเข้าร่วม"|"3  19/05/2565 -
คลิกเข้าร่วม"|"4  09/06/2565 -
คลิกเข้าร่วม"|"5  30/06/2565 -
คลิกเข้าร่วม"|"6  21/07/2565 -
คลิกเข้าร่วม"|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.1588&law_suit_year=2563&Law_Court_ID=101&deed_no=92915&addrno=8/129|2022-02-09 22:09:05.432886|13.92541641|100.40569945||20000
ผบ.2385/2560|4/6|นนทบุรี 10/2565 - 1|170 - 1|ที่ดินว่างเปล่า|0|2|0.0|2100000.0|อ้อมเกร็ด|ปากเกร็ด|นนทบุรี|101|41485|-|"1  07/04/2565 -
คลิกเข้าร่วม"|"2  28/04/2565 -
คลิกเข้าร่วม"|"3  19/05/2565 -
คลิกเข้าร่วม"|"4  09/06/2565 -
คลิกเข้าร่วม"|"5  30/06/2565 -
คลิกเข้าร่วม"|"6  21/07/2565 -
คลิกเข้าร่วม"|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.2385&law_suit_year=2560&Law_Court_ID=101&deed_no=41485&addrno=-|2022-02-09 22:09:08.140267|13.90000471|100.44758605||10500
ผบ.2385/2560|4/7|นนทบุรี 10/2565 - 1|170 - 2|ที่ดินพร้อมสิ่งปลูกสร้าง|1|0|57.0|6543780.0|อ้อมเกร็ด|ปากเกร็ด|นนทบุรี|101|26338|54/6,%2054/2|"1  07/04/2565 -
คลิกเข้าร่วม"|"2  28/04/2565 -
คลิกเข้าร่วม"|"3  19/05/2565 -
คลิกเข้าร่วม"|"4  09/06/2565 -
คลิกเข้าร่วม"|"5  30/06/2565 -
คลิกเข้าร่วม"|"6  21/07/2565 -
คลิกเข้าร่วม"|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.2385&law_suit_year=2560&Law_Court_ID=101&deed_no=26338&addrno=54/6,%2054/2|2022-02-09 22:09:10.618780|13.90013037|100.44749287||10500
ผบ.2385/2560|4/8|นนทบุรี 10/2565 - 1|170 - 3|ที่ดินพร้อมสิ่งปลูกสร้าง|1|0|90.0|9114210.0|อ้อมเกร็ด|ปากเกร็ด|นนทบุรี|101|26339|54/4,%2054/1|"1  07/04/2565 -
คลิกเข้าร่วม"|"2  28/04/2565 -
คลิกเข้าร่วม"|"3  19/05/2565 -
คลิกเข้าร่วม"|"4  09/06/2565 -
คลิกเข้าร่วม"|"5  30/06/2565 -
คลิกเข้าร่วม"|"6  21/07/2565 -
คลิกเข้าร่วม"|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.2385&law_suit_year=2560&Law_Court_ID=101&deed_no=26339&addrno=54/4,%2054/1|2022-02-09 22:09:14.669538|13.89992025|100.4478498||9000
ผบ.3726/2563|4/9|นนทบุรี 10/2565 - 1|171 - 1|ที่ดินพร้อมสิ่งปลูกสร้าง|0|0|52.7|2860250.0|บางแม่นาง|บางใหญ่|นนทบุรี|101|79539|69/113|"1  07/04/2565 -
คลิกเข้าร่วม"|"2  28/04/2565 -
คลิกเข้าร่วม"|"3  19/05/2565 -
คลิกเข้าร่วม"|"4  09/06/2565 -
คลิกเข้าร่วม"|"5  30/06/2565 -
คลิกเข้าร่วม"|"6  21/07/2565 -
คลิกเข้าร่วม"|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.3726&law_suit_year=2563&Law_Court_ID=101&deed_no=79539&addrno=69/113|2022-02-09 22:09:17.883275|13.88771406|100.37832561||25000
ผบ.225/2557|4/10|นนทบุรี 10/2565 - 1|172 - 1|ที่ดินพร้อมสิ่งปลูกสร้าง|0|0|16.0|1090000.0|บางบัวทอง|บางบัวทอง|นนทบุรี|12|115278|99/440|"1  07/04/2565 -
คลิกเข้าร่วม"|"2  28/04/2565 -
คลิกเข้าร่วม"|"3  19/05/2565 -
คลิกเข้าร่วม"|"4  09/06/2565 -
คลิกเข้าร่วม"|"5  30/06/2565 -
คลิกเข้าร่วม"|"6  21/07/2565 -
คลิกเข้าร่วม"|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.225&law_suit_year=2557&Law_Court_ID=012&deed_no=115278&addrno=99/440|2022-02-09 22:09:22.474389|13.94543894|100.36945101||16000
ผบ.3536/2563|4/11|นนทบุรี 10/2565 - 1|173 - 1|ที่ดินพร้อมสิ่งปลูกสร้าง|0|0|53.7|2152324.0|บางแม่นาง|บางใหญ่|นนทบุรี|101|93617|32/38|"1  07/04/2565 -
คลิกเข้าร่วม"|"2  28/04/2565 -
คลิกเข้าร่วม"|"3  19/05/2565 -
คลิกเข้าร่วม"|"4  09/06/2565 -
คลิกเข้าร่วม"|"5  30/06/2565 -
คลิกเข้าร่วม"|"6  21/07/2565 -
คลิกเข้าร่วม"|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.3536&law_suit_year=2563&Law_Court_ID=101&deed_no=93617&addrno=32/38|2022-02-09 22:09:24.525850|13.91400321|100.37000358||25000
ผบE.29/2563|4/12|นนทบุรี 10/2565 - 1|174 - 1|ห้องชุด|0|0|27.87|1379565.0|ตลาดขวัญ|เมืองนนทบุรี|นนทบุรี|603|65078,65080|72/70|"1  07/04/2565 -
คลิกเข้าร่วม"|"2  28/04/2565 -
คลิกเข้าร่วม"|"3  19/05/2565 -
คลิกเข้าร่วม"|"4  09/06/2565 -
คลิกเข้าร่วม"|"5  30/06/2565 -
คลิกเข้าร่วม"|"6  21/07/2565 -
คลิกเข้าร่วม"|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BAE.29&law_suit_year=2563&Law_Court_ID=603&deed_no=65078,65080&addrno=72/70|2022-02-09 22:09:26.573510|13.84908076|100.51315227||40000
ผบ.4862/2563|4/13|นนทบุรี 10/2565 - 1|175 - 1|ห้องชุด|0|0|34.0|404600.0|บางพูด|ปากเกร็ด|นนทบุรี|101|71023,71025,71027,71030|63/39|"1  07/04/2565 -
คลิกเข้าร่วม"|"2  28/04/2565 -
คลิกเข้าร่วม"|"3  19/05/2565 -
คลิกเข้าร่วม"|"4  09/06/2565 -
คลิกเข้าร่วม"|"5  30/06/2565 -
คลิกเข้าร่วม"|"6  21/07/2565 -
คลิกเข้าร่วม"|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.4862&law_suit_year=2563&Law_Court_ID=101&deed_no=71023,71025,71027,71030&addrno=63/39|2022-02-09 22:09:28.704914||||
ผบ.3503/2563|4/14|นนทบุรี 10/2565 - 1|176 - 1|ห้องชุด|0|0|33.48|1704132.0|ตลาดขวัญ|เมืองนนทบุรี|นนทบุรี|101|2768|35/445|"1  07/04/2565 -
คลิกเข้าร่วม"|"2  28/04/2565 -
คลิกเข้าร่วม"|"3  19/05/2565 -
คลิกเข้าร่วม"|"4  09/06/2565 -
คลิกเข้าร่วม"|"5  30/06/2565 -
คลิกเข้าร่วม"|"6  21/07/2565 -
คลิกเข้าร่วม"|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.3503&law_suit_year=2563&Law_Court_ID=101&deed_no=2768&addrno=35/445|2022-02-09 22:09:32.784435|13.84186507|100.51130371||140000
ผบ.19481/2562|4/15|นนทบุรี 10/2565 - 1|177 - 1|ห้องชุด|0|0|25.92|1223424.0|บางรักพัฒนา|บางบัวทอง|นนทบุรี|121|3040,185332,185333,185334,185335,185336|126/22|"1  07/04/2565 -
คลิกเข้าร่วม"|"2  28/04/2565 -
คลิกเข้าร่วม"|"3  19/05/2565 -
คลิกเข้าร่วม"|"4  09/06/2565 -
คลิกเข้าร่วม"|"5  30/06/2565 -
คลิกเข้าร่วม"|"6  21/07/2565 -
คลิกเข้าร่วม"|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.19481&law_suit_year=2562&Law_Court_ID=121&deed_no=3040,%20185332,185333,185334,185335,185336&addrno=126/22|2022-02-09 22:09:38.096404|13.88808398|100.41093399||nodetail
ผบ.2757/2560|4/16|นนทบุรี 10/2565 - 1|178 - 1|ที่ดินพร้อมสิ่งปลูกสร้าง|0|0|19.5|1083225.0|ลำโพ|บางบัวทอง|นนทบุรี|101|176782|109/27|"1  07/04/2565 -
คลิกเข้าร่วม"|"2  28/04/2565 -
คลิกเข้าร่วม"|"3  19/05/2565 -
คลิกเข้าร่วม"|"4  09/06/2565 -
คลิกเข้าร่วม"|"5  30/06/2565 -
คลิกเข้าร่วม"|"6  21/07/2565 -
คลิกเข้าร่วม"|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.2757&law_suit_year=2560&Law_Court_ID=101&deed_no=176782&addrno=109/27|2022-02-09 22:09:42.451735|13.96906274|100.4182336||nodetail
ผบ.5122/2563|4/17|นนทบุรี 10/2565 - 1|179 - 1|ที่ดินพร้อมสิ่งปลูกสร้าง|0|0|18.0|855540.0|บางคูรัด|บางบัวทอง|นนทบุรี|121|143338|91/331|"1  07/04/2565 -
คลิกเข้าร่วม"|"2  28/04/2565 -
คลิกเข้าร่วม"|"3  19/05/2565 -
คลิกเข้าร่วม"|"4  09/06/2565 -
คลิกเข้าร่วม"|"5  30/06/2565 -
คลิกเข้าร่วม"|"6  21/07/2565 -
คลิกเข้าร่วม"|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.5122&law_suit_year=2563&Law_Court_ID=121&deed_no=143338&addrno=91/331|2022-02-09 22:09:45.620348|13.89920756|100.36028746||15000
ผบ.19283/2560|4/18|นนทบุรี 10/2565 - 1|180 - 1|ที่ดินพร้อมสิ่งปลูกสร้าง|0|0|20.1|1109704.0|บางรักพัฒนา|บางบัวทอง|นนทบุรี|121|156180|99/240|"1  07/04/2565 -
คลิกเข้าร่วม"|"2  28/04/2565 -
คลิกเข้าร่วม"|"3  19/05/2565 -
คลิกเข้าร่วม"|"4  09/06/2565 -
คลิกเข้าร่วม"|"5  30/06/2565 -
คลิกเข้าร่วม"|"6  21/07/2565 -
คลิกเข้าร่วม"|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.19283&law_suit_year=2560&Law_Court_ID=121&deed_no=156180&addrno=99/240|2022-02-09 22:09:50.185411|13.90965931|100.39863136||18000
